"","shannonH","Spot","Abundance","Richness","Evenness","Simpson"
"1",3.47638660815234,"1A",253,55,0.867506256021651,21.6906133514063
"2",3.40440225435337,"1B",152,40,0.922882489574629,23.8677685950413
"3",3.35397175074582,"1C",153,40,0.909211534956877,21.8164026095061
"4",3.61847997854032,"1D",207,50,0.924963880202002,26.4336829117828
"5",3.48837646451284,"1E",158,44,0.921829189860358,26.1129707112971
"6",3.21281850704983,"2A",146,39,0.876965864746401,17.107544141252
"7",3.63300371525686,"2B",178,52,0.91945827035979,29.8905660377359
"8",3.13304334786449,"2C",239,45,0.823042062773873,10.7877242681775
"9",3.04419983980112,"2D",181,38,0.836873604123814,10.7307566328202
"10",3.44078014218631,"2E",175,42,0.920568293504387,24.6776792908944
"11",3.46496666523779,"3A",171,46,0.905012067313276,23.7153284671533
"12",3.3496073903256,"3B",179,42,0.896175353204172,21.374916611074
"13",3.46955043302486,"3C",187,42,0.928265680854465,26.1548242333583
"14",3.45079870189673,"3D",155,42,0.923248722952033,25.2628811777077
"15",3.3206423375774,"3E",187,41,0.894190897047645,17.1837837837838
"16",3.27478203345341,"4A",210,45,0.860276434344722,14.9592944369064
"17",3.53899833747212,"4B",163,49,0.909342689638114,24.9474178403756
"18",3.59810756489857,"4C",152,50,0.919756238627941,27.3096926713948
"19",3.57833611556719,"4D",141,49,0.919450499115897,26.9025710419486
"20",3.29482186397153,"4E",105,36,0.91943754743795,20.9203036053131
"21",3.29581580005604,"5A",171,45,0.865801948271726,17.1702877275396
"22",3.28449929720729,"5B",121,36,0.916556980335746,19.0886571056063
"23",3.18896530220755,"5C",120,34,0.904321971604042,18.3673469387755
"24",3.4937785063787,"5D",140,43,0.928899925266128,25.3886010362694
"25",3.55513347622083,"5E",164,46,0.928562669640704,28.6737739872068
"26",3.30210219307633,"6A",181,40,0.895150474324591,20.6694006309148
"27",3.76402348542743,"6B",287,58,0.926998230402672,33.2267043162566
"28",3.37270672757729,"6C",189,47,0.875994137492102,18.6338028169014
"29",3.56171504847365,"6D",177,50,0.910453502837681,25.6165167620605
"30",3.45494131061669,"6E",268,52,0.874393369958227,18.4732510288066
"31",3.40350852291274,"7A",124,37,0.942560480534547,25.8855218855219
"32",3.49218411577606,"7B",134,41,0.940384097318804,27.5398773006135
"33",3.41340157389491,"7C",143,42,0.913243256492695,20.4694694694695
"34",3.3604800155271,"7D",153,36,0.937759803489389,24.5120418848168
"35",3.29421253604876,"7E",148,37,0.912292280174394,20.2439926062847
"36",3.41090639543724,"8A",145,46,0.890892105634412,19.7417840375587
"37",3.29600968141999,"8B",150,43,0.876318616408478,15.7122905027933
"38",3.23820864228723,"8C",120,34,0.918286323727409,20.2247191011236
"39",3.35569178854166,"8D",127,37,0.929318214848129,23.8242245199409
"40",3.35748552220149,"8E",115,38,0.922998212213902,23.0802792321117
"41",3.40930042319621,"9A",135,36,0.951383397645735,26.4513788098694
"42",3.44171894516368,"9B",167,41,0.926794709606405,24.6151809355693
"43",3.42556190824228,"9C",123,39,0.935035967488413,24.2064
"44",3.4162259564622,"9D",134,42,0.913998909842438,23.3194805194805
"45",3.51494921529623,"9E",170,45,0.923367707208608,25.1742160278746
"46",3.24213886339926,"10A",165,41,0.873051284629186,16.8994413407821
"47",2.91279094717434,"10B",145,28,0.874133306728281,13.5383129426916
"48",3.1311900425121,"10C",132,31,0.911823444892991,18.3025210084034
"49",3.18115750874296,"10D",201,39,0.868323728659971,15.8497449980384
"50",3.66381961321139,"10E",196,51,0.931836748485909,31.5402298850575
