Spot,X,Y
1E,310937.19,9740768.97
1D,310922.25,9741069.06
1A,310943.97,9741872.24
1B,310831.50,9741611.80
1C,310948.25,9741371.09
2C,312142.72,9738744.59
2A,312125.37,9739384.94
2D,312144.08,9738444.15
2E,312139.95,9738095.37
2B,312124.57,9739037.39
3B,313119.01,9737530.28
3a,313104.18,9737832.48
3C,313088.45,9737227.37
3D,312992.71,9736934.44
3E,313019.02,9736611.02
4A,314117.69,9742383.94
4B,313964.26,9742137.27
4C,313831.76,9741883.89
4D,313710.95,9741614.48
4E,313532.19,9741345.56
5A,314978.78,9740845.03
5B,314947.98,9740554.84
5C,314963.37,9740238.16
5D,314969.18,9739936.06
5E,314989.12,9739634.65
6B,315523.27,9738299.28
6C,315395.80,9738020.35
6D,315384.42,9737770.99
6E,315437.48,9737401.39
6A,315512.66,9738613.64
7E,306871.74,9736320.97
7B,306876.94,9737225.33
7C,306880.32,9736930.07
7D,306859.13,9736618.09
7A,306877.91,9737520.91
8E,305503.47,9734936.05
8D,305820.66,9734882.05
8C,306142.84,9734925.37
8B,306426.13,9734936.12
8A,306797.33,9734915.81
9D,309785.14,9735017.76
9E,309491.96,9735097.02
9B,310412.04,9735006.60
9C,310092.33,9734947.15
9A,310665.20,9735180.64
10A,309810.83,9734491.76
10B,309803.19,9734190.75
10D,309751.23,9733588.68
10E,309717.69,9733277.90
10C,309770.87,9733888.49
